Description	ID	Physalia	Nanomia	Agalma	Abylopsis	Craseoa	Hydra	Nematostella
535	535	0	1	1	1	3	2	1
536	536	1	2	5	1	2	1	0
537	537	3	1	1	2	2	1	2
538	538	4	2	1	1	2	1	1
539	539	2	1	2	2	3	1	0
540	540	1	2	2	1	2	2	2
541	541	2	4	1	2	2	1	0
542	542	1	1	1	2	3	3	1
543	543	0	3	4	3	1	1	0
544	544	3	2	1	2	2	1	1
545	545	4	1	1	3	1	1	1
546	546	3	1	1	2	3	0	2
547	547	2	2	0	1	1	2	2
548	548	2	2	2	0	5	1	0
549	549	1	1	1	3	2	1	1
550	550	5	1	2	1	1	1	1
551	551	5	1	2	1	1	1	1
552	552	2	3	5	0	1	1	0
553	553	3	2	3	1	1	1	1
554	554	3	1	3	2	2	0	1
555	555	0	4	2	1	3	1	1
556	556	3	1	2	2	1	1	2
557	557	3	1	1	3	2	1	1
558	558	4	1	3	1	1	1	1
559	559	2	2	3	2	2	0	1
560	560	2	3	1	1	3	1	1
561	561	0	2	3	3	3	1	0
562	562	2	2	2	1	2	2	1
563	563	2	1	2	3	1	2	1
564	564	3	1	1	2	3	1	1
565	565	1	1	2	2	4	1	1
566	566	3	1	2	1	1	1	2
567	567	0	2	1	2	6	0	0
568	568	2	3	1	2	2	1	1
569	569	3	2	2	0	1	2	2
570	570	1	1	1	4	3	1	1
571	571	2	2	2	2	3	1	0
572	572	1	1	1	2	1	1	1
573	573	3	2	1	1	2	2	1
574	574	3	2	1	2	1	1	2
575	575	1	1	0	1	2	7	0
576	576	2	3	2	1	2	1	1
577	577	1	0	2	2	2	0	5
578	578	3	1	3	2	1	1	1
579	579	1	3	2	1	1	2	1
580	580	1	1	3	0	4	0	2
581	581	1	3	1	0	1	2	3
582	582	0	2	2	3	4	0	0
583	583	1	2	2	1	1	1	1
584	584	4	1	1	1	0	1	1
585	585	1	1	1	1	1	1	1
586	586	3	0	3	2	1	1	1
587	587	4	1	2	1	1	1	1
588	588	1	2	3	2	0	2	1
589	589	5	0	1	2	1	1	1
590	590	1	1	1	1	1	1	1
591	591	2	1	4	1	1	1	1
592	592	1	1	1	2	1	1	2
593	593	3	1	2	1	2	1	1
594	594	1	1	0	3	4	1	1
595	595	1	0	2	1	2	1	1
596	596	0	2	1	4	1	1	2
597	597	3	0	3	2	1	1	1
598	598	2	2	2	2	2	1	0
599	599	2	2	2	1	2	1	1
600	600	1	0	1	0	0	2	7
601	601	1	2	1	2	1	1	1
602	602	4	1	1	1	1	1	2
603	603	2	1	1	1	2	1	2
604	604	1	2	1	2	2	1	2
605	605	2	1	1	2	3	1	1
606	606	4	1	2	1	1	1	1
607	607	1	1	1	2	1	1	4
608	608	2	3	3	2	0	1	0
609	609	3	1	1	2	1	2	1
610	610	4	1	1	2	1	1	1
611	611	2	1	1	2	3	1	1
612	612	1	1	1	3	3	1	1
613	613	1	0	3	0	3	4	0
614	614	4	1	2	1	1	1	1
615	615	1	2	1	1	1	1	2
616	616	1	1	2	1	1	1	1
617	617	2	1	1	1	1	1	1
618	618	2	1	1	1	2	1	3
619	619	1	1	1	0	4	4	0
620	620	3	1	1	1	1	1	1
621	621	1	2	1	1	3	0	3
622	622	1	3	3	1	2	1	0
623	623	2	1	2	1	2	2	1
624	624	2	2	2	2	2	1	0
625	625	3	2	1	1	1	1	1
626	626	4	1	0	2	1	3	0
627	627	1	1	1	1	1	1	2
628	628	4	1	2	1	1	1	1
629	629	1	2	2	2	2	1	1
630	630	3	2	2	0	2	2	0
631	631	1	1	1	1	0	2	2
632	632	1	1	2	2	1	2	1
633	633	2	4	2	1	1	1	0
634	634	0	2	1	1	2	1	4
635	635	2	1	1	0	2	1	1
636	636	0	1	1	3	6	0	0
637	637	1	4	3	1	1	1	0
638	638	1	1	1	4	2	1	1
639	639	4	1	1	2	1	1	1
640	640	0	1	1	1	1	7	0
641	641	2	2	2	2	1	1	1
642	642	3	1	1	1	1	1	1
643	643	3	1	2	2	1	1	1
644	644	1	2	1	1	2	1	1
645	645	2	1	1	1	1	1	1
646	646	0	1	2	1	4	1	0
647	647	1	1	2	2	4	1	0
648	648	2	2	1	1	1	1	3
649	649	1	1	2	3	1	1	1
650	650	2	1	1	3	3	1	0
651	651	5	1	1	1	1	1	1
652	652	5	1	1	0	2	1	1
653	653	5	1	1	1	1	1	1
654	654	1	0	1	4	3	1	1
655	655	5	1	2	1	0	1	1
656	656	2	3	3	1	1	0	1
657	657	2	3	2	1	1	1	1
658	658	4	2	1	0	1	2	1
659	659	2	1	3	1	1	2	1
660	660	1	1	1	2	1	1	1
661	661	2	1	0	1	1	1	1
662	662	2	3	2	1	1	1	1
663	663	1	1	1	2	4	1	1
664	664	3	2	2	1	1	1	1
665	665	5	1	1	1	1	1	1
666	666	4	1	1	2	1	1	1
667	667	4	1	1	1	2	1	1
668	668	0	3	3	2	1	1	1
669	669	0	1	1	3	4	1	1
670	670	2	1	1	1	1	2	2
671	671	3	1	1	1	2	1	2
672	672	2	2	1	1	3	1	1
673	673	0	1	1	0	2	6	1
674	674	1	2	2	2	2	1	1
675	675	3	1	4	3	0	0	0
676	676	2	1	1	1	3	1	1
677	677	1	2	1	2	1	1	1
678	678	2	2	2	2	1	1	1
679	679	2	2	1	1	2	1	1
680	680	3	2	2	1	1	2	0
681	681	1	2	1	2	3	1	1
682	682	2	1	2	1	1	2	2
683	683	3	1	1	2	1	1	2
684	684	1	1	1	1	2	1	2
685	685	2	1	1	1	1	1	1
686	686	0	2	1	1	1	1	5
687	687	2	1	2	4	1	1	0
688	688	1	1	1	3	3	1	1
689	689	2	1	1	2	3	1	1
690	690	1	1	1	2	1	1	2
691	691	1	3	2	2	1	2	0
