model_id,gene,isoform
3119596,DN4754_c0_g2,1
3119597,DN4739_c0_g1,1
3119598,DN4757_c0_g1,1
3119599,DN4757_c0_g2,1
3119600,DN4779_c0_g1,1
3119601,DN4779_c0_g2,1
3119602,DN4770_c0_g1,1
3119603,DN4716_c0_g1,1
3119604,DN4705_c0_g1,1
3119605,DN4705_c0_g1,2
3119606,DN4745_c0_g1,1
3119607,DN4711_c0_g1,1
3119608,DN4704_c0_g1,1
3119609,DN4733_c0_g1,1
3119610,DN4790_c0_g1,1
3119611,DN4732_c0_g1,1
3119612,DN4732_c0_g1,2
3119613,DN4756_c0_g1,1
3119614,DN4756_c0_g1,2
3119615,DN4738_c0_g1,1
3119616,DN4738_c0_g2,1
3119617,DN4708_c0_g1,1
3119618,DN4797_c0_g1,1
3119619,DN4797_c0_g2,1
3119620,DN4752_c0_g1,1
3119621,DN4752_c0_g1,2
3119622,DN4784_c0_g1,1
3119623,DN4712_c0_g1,1
3119624,DN4712_c0_g2,1
3119625,DN4771_c0_g1,1
3119626,DN4771_c0_g1,2
3119627,DN4792_c0_g1,1
3119628,DN4792_c0_g1,2
3119629,DN4740_c0_g1,1
3119630,DN4783_c0_g1,1
3119631,DN4763_c0_g1,1
3119632,DN4763_c0_g2,1
3119633,DN4717_c0_g1,1
3119634,DN4717_c0_g2,1
3119635,DN4717_c0_g3,1
3119636,DN4717_c0_g4,1
3119637,DN4717_c0_g5,1
3119638,DN4710_c0_g1,1
3119639,DN4710_c0_g2,1
3119640,DN4753_c0_g1,1
3119641,DN4753_c0_g2,1
3119642,DN4750_c0_g1,1
3119643,DN28826_c0_g1,1
3119644,DN28823_c0_g1,1
3119645,DN28884_c0_g1,1
3119646,DN28838_c0_g1,1
3119647,DN28873_c0_g1,1
3119648,DN28873_c0_g2,1
3119649,DN28852_c0_g1,1
3119650,DN28834_c0_g1,1
3119651,DN28819_c0_g1,1
3119652,DN28866_c0_g1,1
3119653,DN28866_c0_g2,1
3119654,DN28822_c0_g1,1
3119655,DN28847_c0_g1,1
3119656,DN28887_c0_g1,1
3119657,DN28887_c0_g2,1
3119658,DN28815_c0_g1,1
3119659,DN28815_c0_g1,2
3119660,DN28864_c0_g1,1
3119661,DN28812_c0_g1,1
3119662,DN28898_c0_g1,1
3119663,DN28898_c0_g2,1
3119664,DN28882_c0_g1,1
3119665,DN28882_c0_g2,1
3119666,DN28828_c0_g1,1
3119667,DN28860_c0_g1,1
3119668,DN28860_c0_g1,2
3119669,DN28860_c0_g1,3
3119670,DN28836_c0_g1,1
3119671,DN28881_c0_g1,1
3119672,DN28869_c0_g1,1
3119673,DN28869_c0_g2,1
3119674,DN28840_c0_g1,1
3119675,DN28813_c0_g1,1
3119676,DN28809_c0_g1,1
3119677,DN28818_c0_g1,1
3119678,DN28804_c0_g1,1
3119679,DN28862_c0_g1,1
3119680,DN28862_c0_g2,1
3119681,DN28830_c0_g1,1
3119682,DN28878_c0_g1,1
3119683,DN28892_c0_g1,1
3119684,DN28849_c0_g1,1
3119685,DN28885_c0_g1,1
3119686,DN28843_c0_g1,1
3119687,DN28880_c0_g1,1
3119688,DN28880_c0_g2,1
3119689,DN28848_c0_g1,1
3119690,DN28896_c0_g1,1
3119691,DN28896_c0_g2,1
