model_id,gene,isoform
241596,DN81_c0_g1,1
241597,DN75_c0_g1,1
241598,DN75_c0_g2,1
241599,DN93_c0_g1,1
241600,DN93_c0_g2,1
241601,DN83_c0_g1,1
241602,DN83_c0_g1,2
241603,DN99_c0_g1,1
241604,DN99_c0_g2,1
241605,DN20619_c0_g1,1
241606,DN20687_c0_g1,1
241607,DN20685_c0_g1,1
241608,DN20671_c0_g1,1
241609,DN20654_c0_g1,1
241610,DN20600_c0_g1,1
241611,DN20694_c0_g1,1
241612,DN20684_c0_g1,1
241613,DN20623_c0_g1,1
241614,DN20651_c0_g1,1
241615,DN20628_c0_g1,1
241616,DN20650_c0_g1,1
241617,DN20626_c0_g1,1
241618,DN20642_c0_g1,1
241619,DN20681_c0_g1,1
241620,DN20666_c0_g1,1
241621,DN20621_c0_g1,1
241622,DN20659_c0_g1,1
241623,DN20658_c0_g1,1
241624,DN20699_c0_g1,1
241625,DN20602_c0_g1,1
241626,DN20689_c0_g1,1
241627,DN20678_c0_g1,1
241628,DN20645_c0_g1,1
241629,DN20693_c0_g1,1
241630,DN20641_c0_g1,1
241631,DN20668_c0_g1,1
241632,DN20674_c0_g1,1
241633,DN20624_c0_g1,1
241634,DN20661_c0_g1,1
241635,DN20698_c0_g1,1
241636,DN20629_c0_g1,1
241637,DN20657_c0_g1,1
241638,DN20630_c0_g1,1
241639,DN20607_c0_g1,1
241640,DN20643_c0_g1,1
241641,DN20613_c0_g1,1
241642,DN20615_c0_g1,1
241643,DN20635_c0_g1,1
241644,DN20683_c0_g1,1
241645,DN20636_c0_g1,1
241646,DN20603_c0_g1,1
241647,DN20632_c0_g1,1
241648,DN20638_c0_g1,1
241649,DN20606_c0_g1,1
241650,DN20652_c0_g1,1
241651,DN20669_c0_g1,1
241652,DN20679_c0_g1,1
241653,DN20618_c0_g1,1
241654,DN20691_c0_g1,1
241655,DN20620_c0_g1,1
241656,DN20622_c0_g1,1
241657,DN20611_c0_g1,1
241658,DN20655_c0_g1,1
241659,DN20686_c0_g1,1
241660,DN20672_c0_g1,1
241661,DN20667_c0_g1,1
241662,DN20639_c0_g1,1
241663,DN20617_c0_g1,1
241664,DN20625_c0_g1,1
241665,DN20649_c0_g1,1
241666,DN20601_c0_g1,1
241667,DN20663_c0_g1,1
241668,DN20660_c0_g1,1
241669,DN20634_c0_g1,1
241670,DN20696_c0_g1,1
241671,DN20676_c0_g1,1
241672,DN20614_c0_g1,1
241673,DN20646_c0_g1,1
241674,DN20637_c0_g1,1
241675,DN20673_c0_g1,1
241676,DN20695_c0_g1,1
241677,DN20675_c0_g1,1
241678,DN20692_c0_g1,1
241679,DN20677_c0_g1,1
241680,DN20653_c0_g1,1
241681,DN20627_c0_g1,1
241682,DN20648_c0_g1,1
241683,DN20640_c0_g1,1
241684,DN20609_c0_g1,1
241685,DN20608_c0_g1,1
241686,DN20610_c0_g1,1
241687,DN20644_c0_g1,1
241688,DN20616_c0_g1,1
241689,DN20605_c0_g1,1
241690,DN20631_c0_g1,1
241691,DN20633_c0_g1,1
241692,DN20665_c0_g1,1
241693,DN20656_c0_g1,1
241694,DN20682_c0_g1,1
241695,DN20688_c0_g1,1
241696,DN20690_c0_g1,1
241697,DN20604_c0_g1,1
241698,DN20670_c0_g1,1
241699,DN20680_c0_g1,1
241700,DN20662_c0_g1,1
241701,DN20647_c0_g1,1
241702,DN20664_c0_g1,1
241703,DN20697_c0_g1,1
241704,DN3864_c0_g1,1
241705,DN3847_c0_g1,1
241706,DN3849_c0_g1,1
241707,DN3891_c0_g1,1
241708,DN3878_c0_g1,1
241709,DN3878_c0_g1,2
241710,DN3890_c0_g1,1
241711,DN3818_c0_g1,1
241712,DN3818_c0_g1,2
241713,DN3808_c0_g1,1
241714,DN3808_c0_g1,2
241715,DN3862_c0_g1,1
241716,DN3826_c0_g1,1
241717,DN3803_c0_g1,1
241718,DN3816_c0_g1,1
241719,DN3816_c0_g2,1
241720,DN3806_c0_g1,1
241721,DN3853_c0_g1,1
241722,DN3869_c0_g1,1
241723,DN3867_c0_g1,1
241724,DN3889_c0_g1,1
241725,DN3813_c0_g1,1
241726,DN3825_c0_g1,1
241727,DN3845_c0_g1,1
241728,DN3845_c0_g2,1
241729,DN3850_c0_g1,1
241730,DN3833_c0_g1,1
